ini,end,wsize,mid_win,id
1,1500001,1500000,750001,1
1000001,3000001,2000000,2000001,2
2500001,4500001,2000000,3500001,3
4000001,6000001,2000000,5000001,4
5500001,7500001,2000000,6500001,5
7000001,9000001,2000000,8000001,6
8500001,10500001,2000000,9500001,7
10000001,12000001,2000000,11000001,8
11500001,13500001,2000000,12500001,9
13000001,15000001,2000000,14000001,10
14500001,16500001,2000000,15500001,11
16000001,18000001,2000000,17000001,12
17500001,19500001,2000000,18500001,13
19000001,21000001,2000000,20000001,14
20500001,22500001,2000000,21500001,15
22000001,24000001,2000000,23000001,16
23500001,25500001,2000000,24500001,17
25000001,27000001,2000000,26000001,18
26500001,28500001,2000000,27500001,19
28000001,30000001,2000000,29000001,20
29500001,31500001,2000000,30500001,21
31000001,33000001,2000000,32000001,22
32500001,34500001,2000000,33500001,23
34000001,36000001,2000000,35000001,24
35500001,37500001,2000000,36500001,25
37000001,39000001,2000000,38000001,26
38500001,40500001,2000000,39500001,27
40000001,42000001,2000000,41000001,28
41500001,43500001,2000000,42500001,29
43000001,45000001,2000000,44000001,30
44500001,46500001,2000000,45500001,31
46000001,48000001,2000000,47000001,32
47500001,49500001,2000000,48500001,33
49000001,51000001,2000000,50000001,34
50500001,52500001,2000000,51500001,35
52000001,54000001,2000000,53000001,36
53500001,55500001,2000000,54500001,37
55000001,57000001,2000000,56000001,38
56500001,58500001,2000000,57500001,39
58000001,60000001,2000000,59000001,40
59500001,61500001,2000000,60500001,41
61000001,63000001,2000000,62000001,42
62500001,64500001,2000000,63500001,43
64000001,66000001,2000000,65000001,44
65500001,67500001,2000000,66500001,45
67000001,69000001,2000000,68000001,46
68500001,70500001,2000000,69500001,47
70000001,72000001,2000000,71000001,48
71500001,73500001,2000000,72500001,49
73000001,75000001,2000000,74000001,50
74500001,76500001,2000000,75500001,51
76000001,78000001,2000000,77000001,52
77500001,79500001,2000000,78500001,53
79000001,81000001,2000000,80000001,54
80500001,82500001,2000000,81500001,55
82000001,84000001,2000000,83000001,56
83500001,85500001,2000000,84500001,57
85000001,87000001,2000000,86000001,58
86500001,88500001,2000000,87500001,59
88000001,90000001,2000000,89000001,60
89500001,91500001,2000000,90500001,61
91000001,93000001,2000000,92000001,62
92500001,94500001,2000000,93500001,63
94000001,96000001,2000000,95000001,64
95500001,97500001,2000000,96500001,65
97000001,99000001,2000000,98000001,66
98500001,100000001,1500000,99250001,67
