ini,end,wsize,mid_win,id
1,150001,150000,75001,1
100001,300001,200000,200001,2
250001,450001,200000,350001,3
400001,600001,200000,500001,4
550001,750001,200000,650001,5
700001,900001,200000,800001,6
850001,1050001,200000,950001,7
1000001,1200001,200000,1100001,8
1150001,1350001,200000,1250001,9
1300001,1500001,200000,1400001,10
1450001,1650001,200000,1550001,11
1600001,1800001,200000,1700001,12
1750001,1950001,200000,1850001,13
1900001,2100001,200000,2000001,14
2050001,2250001,200000,2150001,15
2200001,2400001,200000,2300001,16
2350001,2550001,200000,2450001,17
2500001,2700001,200000,2600001,18
2650001,2850001,200000,2750001,19
2800001,3000001,200000,2900001,20
2950001,3150001,200000,3050001,21
3100001,3300001,200000,3200001,22
3250001,3450001,200000,3350001,23
3400001,3600001,200000,3500001,24
3550001,3750001,200000,3650001,25
3700001,3900001,200000,3800001,26
3850001,4050001,200000,3950001,27
4000001,4200001,200000,4100001,28
4150001,4350001,200000,4250001,29
4300001,4500001,200000,4400001,30
4450001,4650001,200000,4550001,31
4600001,4800001,200000,4700001,32
4750001,4950001,200000,4850001,33
4900001,5100001,200000,5000001,34
5050001,5250001,200000,5150001,35
5200001,5400001,200000,5300001,36
5350001,5550001,200000,5450001,37
5500001,5700001,200000,5600001,38
5650001,5850001,200000,5750001,39
5800001,6000001,200000,5900001,40
5950001,6150001,200000,6050001,41
6100001,6300001,200000,6200001,42
6250001,6450001,200000,6350001,43
6400001,6600001,200000,6500001,44
6550001,6750001,200000,6650001,45
6700001,6900001,200000,6800001,46
6850001,7050001,200000,6950001,47
7000001,7200001,200000,7100001,48
7150001,7350001,200000,7250001,49
7300001,7500001,200000,7400001,50
7450001,7650001,200000,7550001,51
7600001,7800001,200000,7700001,52
7750001,7950001,200000,7850001,53
7900001,8100001,200000,8000001,54
8050001,8250001,200000,8150001,55
8200001,8400001,200000,8300001,56
8350001,8550001,200000,8450001,57
8500001,8700001,200000,8600001,58
8650001,8850001,200000,8750001,59
8800001,9000001,200000,8900001,60
8950001,9150001,200000,9050001,61
9100001,9300001,200000,9200001,62
9250001,9450001,200000,9350001,63
9400001,9600001,200000,9500001,64
9550001,9750001,200000,9650001,65
9700001,9900001,200000,9800001,66
9850001,10050001,200000,9950001,67
10000001,10200001,200000,10100001,68
10150001,10350001,200000,10250001,69
10300001,10500001,200000,10400001,70
10450001,10650001,200000,10550001,71
10600001,10800001,200000,10700001,72
10750001,10950001,200000,10850001,73
10900001,11100001,200000,11000001,74
11050001,11250001,200000,11150001,75
11200001,11400001,200000,11300001,76
11350001,11550001,200000,11450001,77
11500001,11700001,200000,11600001,78
11650001,11850001,200000,11750001,79
11800001,12000001,200000,11900001,80
11950001,12150001,200000,12050001,81
12100001,12300001,200000,12200001,82
12250001,12450001,200000,12350001,83
12400001,12600001,200000,12500001,84
12550001,12750001,200000,12650001,85
12700001,12900001,200000,12800001,86
12850001,13050001,200000,12950001,87
13000001,13200001,200000,13100001,88
13150001,13350001,200000,13250001,89
13300001,13500001,200000,13400001,90
13450001,13650001,200000,13550001,91
13600001,13800001,200000,13700001,92
13750001,13950001,200000,13850001,93
13900001,14100001,200000,14000001,94
14050001,14250001,200000,14150001,95
14200001,14400001,200000,14300001,96
14350001,14550001,200000,14450001,97
14500001,14700001,200000,14600001,98
14650001,14850001,200000,14750001,99
14800001,15000001,200000,14900001,100
14950001,15150001,200000,15050001,101
15100001,15300001,200000,15200001,102
15250001,15450001,200000,15350001,103
15400001,15600001,200000,15500001,104
15550001,15750001,200000,15650001,105
15700001,15900001,200000,15800001,106
15850001,16050001,200000,15950001,107
16000001,16200001,200000,16100001,108
16150001,16350001,200000,16250001,109
16300001,16500001,200000,16400001,110
16450001,16650001,200000,16550001,111
16600001,16800001,200000,16700001,112
16750001,16950001,200000,16850001,113
16900001,17100001,200000,17000001,114
17050001,17250001,200000,17150001,115
17200001,17400001,200000,17300001,116
17350001,17550001,200000,17450001,117
17500001,17700001,200000,17600001,118
17650001,17850001,200000,17750001,119
17800001,18000001,200000,17900001,120
17950001,18150001,200000,18050001,121
18100001,18300001,200000,18200001,122
18250001,18450001,200000,18350001,123
18400001,18600001,200000,18500001,124
18550001,18750001,200000,18650001,125
18700001,18900001,200000,18800001,126
18850001,19050001,200000,18950001,127
19000001,19200001,200000,19100001,128
19150001,19350001,200000,19250001,129
19300001,19500001,200000,19400001,130
19450001,19650001,200000,19550001,131
19600001,19800001,200000,19700001,132
19750001,19950001,200000,19850001,133
19900001,20100001,200000,20000001,134
20050001,20250001,200000,20150001,135
20200001,20400001,200000,20300001,136
20350001,20550001,200000,20450001,137
