ini,end,wsize,mid_win,id
1,15001,15000,7501,1
10001,30001,20000,20001,2
25001,45001,20000,35001,3
40001,60001,20000,50001,4
55001,75001,20000,65001,5
70001,90001,20000,80001,6
85001,105001,20000,95001,7
100001,120001,20000,110001,8
115001,135001,20000,125001,9
130001,150001,20000,140001,10
145001,165001,20000,155001,11
160001,180001,20000,170001,12
175001,195001,20000,185001,13
190001,210001,20000,200001,14
205001,225001,20000,215001,15
220001,240001,20000,230001,16
235001,255001,20000,245001,17
250001,270001,20000,260001,18
265001,285001,20000,275001,19
280001,300001,20000,290001,20
295001,315001,20000,305001,21
310001,330001,20000,320001,22
325001,345001,20000,335001,23
340001,360001,20000,350001,24
355001,375001,20000,365001,25
370001,390001,20000,380001,26
385001,405001,20000,395001,27
400001,420001,20000,410001,28
415001,435001,20000,425001,29
430001,450001,20000,440001,30
445001,465001,20000,455001,31
460001,480001,20000,470001,32
475001,495001,20000,485001,33
490001,510001,20000,500001,34
505001,525001,20000,515001,35
520001,540001,20000,530001,36
535001,555001,20000,545001,37
550001,570001,20000,560001,38
565001,585001,20000,575001,39
580001,600001,20000,590001,40
595001,615001,20000,605001,41
610001,630001,20000,620001,42
625001,645001,20000,635001,43
640001,660001,20000,650001,44
655001,675001,20000,665001,45
670001,690001,20000,680001,46
685001,705001,20000,695001,47
700001,720001,20000,710001,48
715001,735001,20000,725001,49
730001,750001,20000,740001,50
745001,765001,20000,755001,51
760001,780001,20000,770001,52
775001,795001,20000,785001,53
790001,810001,20000,800001,54
805001,825001,20000,815001,55
820001,840001,20000,830001,56
835001,855001,20000,845001,57
850001,870001,20000,860001,58
865001,885001,20000,875001,59
880001,900001,20000,890001,60
895001,915001,20000,905001,61
910001,930001,20000,920001,62
925001,945001,20000,935001,63
940001,960001,20000,950001,64
955001,975001,20000,965001,65
970001,990001,20000,980001,66
985001,1005001,20000,995001,67
1000001,1020001,20000,1010001,68
1015001,1035001,20000,1025001,69
1030001,1050001,20000,1040001,70
1045001,1065001,20000,1055001,71
1060001,1080001,20000,1070001,72
1075001,1095001,20000,1085001,73
1090001,1110001,20000,1100001,74
1105001,1125001,20000,1115001,75
1120001,1140001,20000,1130001,76
1135001,1155001,20000,1145001,77
1150001,1170001,20000,1160001,78
1165001,1185001,20000,1175001,79
1180001,1200001,20000,1190001,80
1195001,1215001,20000,1205001,81
1210001,1230001,20000,1220001,82
1225001,1245001,20000,1235001,83
1240001,1260001,20000,1250001,84
1255001,1275001,20000,1265001,85
1270001,1290001,20000,1280001,86
1285001,1305001,20000,1295001,87
1300001,1320001,20000,1310001,88
1315001,1335001,20000,1325001,89
1330001,1350001,20000,1340001,90
1345001,1365001,20000,1355001,91
1360001,1380001,20000,1370001,92
1375001,1395001,20000,1385001,93
1390001,1410001,20000,1400001,94
1405001,1425001,20000,1415001,95
1420001,1440001,20000,1430001,96
1435001,1455001,20000,1445001,97
1450001,1470001,20000,1460001,98
1465001,1485001,20000,1475001,99
1480001,1500001,20000,1490001,100
1495001,1515001,20000,1505001,101
1510001,1530001,20000,1520001,102
1525001,1545001,20000,1535001,103
1540001,1560001,20000,1550001,104
1555001,1575001,20000,1565001,105
1570001,1590001,20000,1580001,106
1585001,1605001,20000,1595001,107
1600001,1620001,20000,1610001,108
1615001,1635001,20000,1625001,109
1630001,1650001,20000,1640001,110
1645001,1665001,20000,1655001,111
1660001,1680001,20000,1670001,112
1675001,1695001,20000,1685001,113
1690001,1710001,20000,1700001,114
1705001,1725001,20000,1715001,115
1720001,1740001,20000,1730001,116
1735001,1755001,20000,1745001,117
1750001,1770001,20000,1760001,118
1765001,1785001,20000,1775001,119
1780001,1800001,20000,1790001,120
1795001,1815001,20000,1805001,121
1810001,1830001,20000,1820001,122
1825001,1845001,20000,1835001,123
1840001,1860001,20000,1850001,124
1855001,1875001,20000,1865001,125
1870001,1890001,20000,1880001,126
1885001,1905001,20000,1895001,127
1900001,1920001,20000,1910001,128
